Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Daniel Heuer Fernandes,GK,1,Germany,33,25,0,0,2250,0,6,3,0,No,First‑choice keeper with most league starts and a handful of clean sheets this season:contentReference[oaicite:0]{index=0}
Daniel Peretz,GK,?,Israel,25,8,0,0,720,0,1,1,0,No,Backup keeper getting runouts:contentReference[oaicite:1]{index=1}
Hannes Hermann,GK,?,Germany,?,0,0,0,0,0,0,0,0,Yes,Youth/3rd keeper with no senior apps:contentReference[oaicite:2]{index=2}
William Mikelbrencis,DEF,2,France,21,?,0,0,?,0,0,?,0,No,Young defender in rotation:contentReference[oaicite:3]{index=3}
Noah Katterbach,DEF,3,Germany,24,?,0,0,?,0,0,?,0,Yes,Home‑grown full‑back option:contentReference[oaicite:4]{index=4}
Guilherme Ramos,DEF,13,Portugal,28,?,3,0,?,3,0,1,0,No,Experienced center‑back:contentReference[oaicite:5]{index=5}
Warmed Omari,DEF,?,France,25,?,0,0,?,0,0,?,0,No,Defensive starter:contentReference[oaicite:6]{index=6}
Miro Muheim,DEF,28,Switzerland,27,?,0,2,?,2,0,?,0,No,Right‑back with assists:contentReference[oaicite:7]{index=7}
Aboubaka Soumahoro,DEF,22,France,20,?,0,0,?,0,0,?,0,No,Defensive depth option:contentReference[oaicite:8]{index=8}
Jordan Torunarigha,DEF,25,Germany/Nigeria,28,?,0,0,?,0,0,?,0,No,Tall defender rotation:contentReference[oaicite:9]{index=9}
Albert Sambi Lokonga,MID,6,Belgium,26,?,5,?,?,? ,Goals leader,00,0,?,No,Creative midfield leader in goals/assists:contentReference[oaicite:10]{index=10}
Fabio Vieira,MID,?,Portugal,25,?,4,?,?,? ,Assist leader,00,0,?,No,Creative midfielder causing problems for defenses:contentReference[oaicite:11]{index=11}
Immanuël Pherai,MID,10,Netherlands,24,?,0,2,?,2,0,?,0,No,Midfield rotation with attacking output:contentReference[oaicite:12]{index=12}
Nicolai Remberg,MID,21,Germany,25,?,0,? ,?,? ,? ,?,0,No,Box‑to‑box midfielder:contentReference[oaicite:13]{index=13}
Jonas Meffert,MID,23,Germany,31,?,0,0,?,0,0,?,0,Yes,Veteran midfield anchor:contentReference[oaicite:14]{index=14}
Nicolás Capaldo,MID,24,Argentina,27,?,0,? ,?,? ,? ,?,0,No,Central midfield rotation:contentReference[oaicite:15]{index=15}
Jean‑Luc Dompé,FWD,7,France,30,?,0,0,?,0,0,?,0,No,Wide forward rotation:contentReference[oaicite:16]{index=16}
Rayan Philippe,FWD,14,France,25,?,5,? ,?,? ,? ,?,0,No,Club’s current top scorer this season:contentReference[oaicite:17]{index=17}
Ransford‑Yeboah Königsdörffer,FWD,11,Germany,24,?,? ,?,?,? ,? ,?,0,No,Forward with minutes and goals:contentReference[oaicite:18]{index=18}
Robert Glatzel,FWD,9,Germany,31,?,? ,? ,?,? ,? ,?,0,No,Experienced striker with goals:contentReference[oaicite:19]{index=19}
Yussuf Poulsen,FWD,15,Denmark,31,?,? ,? ,?,? ,? ,?,0,No,Forward depth option:contentReference[oaicite:20]{index=20}
Bakery Jatta,FWD,18,Gambia,27,?,? ,? ,?,? ,? ,?,0,No,Rotation attacker:contentReference[oaicite:21]{index=21}
Emir Sahiti,FWD,29,?,27,?,? ,? ,?,? ,? ,?,0,No,Front‑line depth striker:contentReference[oaicite:22]{index=22}
Alexander Røssing‑Lelesiit,FWD,38,Norway,18,?,? ,? ,?,? ,? ,?,0,Yes,Young forward option:contentReference[oaicite:23]{index=23}
Fabio Baldé,FWD,?,Portugal,?,?,? ,? ,?,? ,? ,?,0,No,Forward squad player:contentReference[oaicite:24]{index=24}
Otto Stange,DEF,49,Germany,18,?,0,0,?,0,0,?,0,Yes,Youth defender with early apps:contentReference[oaicite:25]{index=25}
