Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Jonathan Burkardt,FWD,9,Germany,24,25,8,2,?,10,0,4,0,No,Top scorer so far, key goal threat :contentReference[oaicite:1]{index=1}
Can Uzun,FWD/MID,42,Germany,21,24,6,2,?,8,0,3,0,No,Second scorer & creative engine :contentReference[oaicite:2]{index=2}
Ritsu Dōan,MID/FWD,11,Japan,28,25,4,5,?,9,0,3,0,No,Attacking midfield playmaker :contentReference[oaicite:3]{index=3}
Ansgar Knauff,FWD,7,Germany,23,25,2,2,?,4,0,4,0,No,Wide attacker with goals & assists :contentReference[oaicite:4]{index=4}
Jean‑Mattéo Bahoya,FWD,19,France,19,22,2,3,?,5,0,1,0,No,Young forward with contributions :contentReference[oaicite:5]{index=5}
Oscar Højlund,MID,14,Denmark,21,25,0,0,?,0,0,?,0,No,Midfield rotation option :contentReference[oaicite:6]{index=6}
Farès Chaïbi,MID,8,France,23,24,1,9,?,10,0,3,0,No,Assist leader this season :contentReference[oaicite:7]{index=7}
Nathaniel Brown,DEF,18,USA,26,23,1,6,?,7,0,4,0,No,Right‑back with creative output :contentReference[oaicite:8]{index=8}
Arthur Theate,DEF,20,Belgium,26,22,1,0,?,1,0,3,0,No,Defender with goal threat :contentReference[oaicite:9]{index=9}
Robin Koch,DEF,4,Germany,28,22,2,0,?,2,0,3,0,No,Experienced centre‑back :contentReference[oaicite:10]{index=10}
Rasmus Kristensen,DEF,26,Denmark,29,23,2,0,?,2,0,3,0,No,Versatile right‑back :contentReference[oaicite:11]{index=11}
Nnamdi Collins,DEF,41,Germany,20,21,0,0,?,0,0,1,0,No,Young defender rotation :contentReference[oaicite:12]{index=12}
Mahmoud Dahoud,MID,18,Germany,33,23,2,0,?,2,0,2,0,No,Veteran midfield option :contentReference[oaicite:13]{index=13}
Ellyes Skhiri,MID,15,Tunisia,31,22,2,0,?,2,0,4,0,No,Box‑to‑box midfielder :contentReference[oaicite:14]{index=14}
Hugo Larsson,MID,16,Sweden,20,21,1,0,?,1,0,1,0,No,Rotation midfielder :contentReference[oaicite:15]{index=15}
Mario Götze,MID,27,Germany,32,11,8,0,?,8,0,1,0,No,Creative midfielder back in form :contentReference[oaicite:16]{index=16}
Michael Zetterer,GK,23,Germany,30,25,0,0,?,0,4,2,0,No,Main keeper with clean sheets :contentReference[oaicite:17]{index=17}
Jens Grahl,GK,33,Germany,35,8,0,0,?,0,1,0,0,No,Backup goalkeeper :contentReference[oaicite:18]{index=18}
Kauã Santos,GK,40,Brazil,22,1,0,0,90,0,0,0,0,No,Third keeper with limited apps :contentReference[oaicite:19]{index=19}
Other Squad Players,Various,0,Various,0,0,0,0,0,0,0,0,Yes,Youth & rotation players (no apps) :contentReference[oaicite:20]{index=20}
