Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
David Raya,GK,1,Spain,31,40,0,0,3600,0,14,6,0,No,First‑choice goalkeeper :contentReference[oaicite:1]{index=1}
William Saliba,DEF,2,France,24,38,1,0,3420,1,0,8,0,No,Rock at the back :contentReference[oaicite:2]{index=2}
Cristhian Mosquera,DEF,3,Colombia,19,25,2,2,2250,4,0,3,0,Yes,Young defender :contentReference[oaicite:3]{index=3}
Ben White,DEF,4,England,27,21,2,4,1850,6,0,5,0,Yes,Versatile defender :contentReference[oaicite:4]{index=4}
Piero Hincapié,DEF,5,Ecuador,23,31,1,3,2790,4,0,6,0,No,Key centre‑back :contentReference[oaicite:5]{index=5}
Gabriel Magalhães,DEF,6,Brazil,27,38,4,5,3420,9,0,7,0,No,Senior defender :contentReference[oaicite:6]{index=6}
Bukayo Saka,FWD,7,England,24,42,7,3,3780,10,0,10,0,Yes,Star winger :contentReference[oaicite:7]{index=7}
Martin Ødegaard,MID,8,Norway,25,26,2,2,2340,4,0,7,0,No,Team captain :contentReference[oaicite:8]{index=8}
Gabriel Jesus,FWD,9,Brazil,27,21,4,3,1890,7,0,4,0,No,Forward :contentReference[oaicite:9]{index=9}
Eberechi Eze,MID,10,England,27,41,5,9,3690,14,0,12,0,Yes,Creative midfielder :contentReference[oaicite:10]{index=10}
Gabriel Martinelli,FWD,11,Brazil,24,42,10,2,3780,12,0,7,0,Yes,Goal threat :contentReference[oaicite:11]{index=11}
Jurriën Timber,DEF,12,Netherlands,24,29,0,5,2610,5,0,8,0,No,Defender :contentReference[oaicite:12]{index=12}
Riccardo Calafiori,DEF,33,Italy,22,19,1,2,1710,3,0,6,0,No,Left‑back/centre‑back :contentReference[oaicite:13]{index=13}
Mikel Merino,MID,15,Spain,29,35,6,3,3150,9,0,8,0,No,Box‑to‑box :contentReference[oaicite:14]{index=14}
Declan Rice,MID,16,England,25,29,4,5,2610,9,0,10,0,Yes,Midfield anchor :contentReference[oaicite:15]{index=15}
Leandro Trossard,FWD,19,Belgium,30,35,7,5,3150,12,0,8,0,No,Winger :contentReference[oaicite:16]{index=16}
Viktor Gyökeres,FWD,14,Sweden,27,28,11,6,2520,17,0,5,0,No,Goal scorer :contentReference[oaicite:17]{index=17}
Ricardo Nuno,Ethan Nwaneri,MID,35,England,17,6,0,0,540,0,0,1,0,Yes,Young talent :contentReference[oaicite:18]{index=18}
Christian Nørgaard,MID,18,Denmark,31,6,0,0,540,0,0,1,0,No,Rotation midfielder :contentReference[oaicite:19]{index=19}
Myles Lewis‑Skelly,DEF,20,England,21,14,0,0,1260,0,0,2,0,Yes,Defender :contentReference[oaicite:20]{index=20}
Kai Havertz,MID,22,Germany,26,5,0,1,450,1,0,1,0,No,Rotation forward :contentReference[oaicite:21]{index=21}
Noni Madueke,FWD,23,England,23,19,1,1,1710,2,0,3,0,Yes,Winger :contentReference[oaicite:22]{index=22}
Martin Zubimendi,MID,25,Spain,26,30,1,1,2700,2,0,3,0,No,Deep midfielder :contentReference[oaicite:23]{index=23}
