Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Finn Dahmen,GK,1,Germany,27,25,0,0,2250,0,6,3,0,No,Main keeper with most starts in league play:contentReference[oaicite:1]{index=1}
Nediljko Labrović,GK,22,Croatia,26,5,0,0,450,0,1,0,0,No,Backup goalkeeper getting some runouts:contentReference[oaicite:2]{index=2}
Daniel Klein,GK,25,Germany,24,3,0,0,270,0,0,0,0,Yes,Third keeper with few apps:contentReference[oaicite:3]{index=3}
Mads Pedersen,DEF,3,Denmark,29,21,0,0,?,0,0,4,0,No,Regular defender and starter:contentReference[oaicite:4]{index=4}
Chrislain Matsima,DEF,5,France,23,18,1,1,?,2,0,3,0,No,Center‑back with goals/assist threat:contentReference[oaicite:5]{index=5}
Jeffrey Gouweleeuw,DEF,6,Netherlands,34,19,0,0,?,0,0,2,0,No,Veteran defender:contentReference[oaicite:6]{index=6}
Dimitrios Giannoulis,DEF,13,Greece,30,20,2,3,?,5,0,5,0,No,Assist leader among defenders:contentReference[oaicite:7]{index=7}
Cédric Zesiger,DEF,16,Switzerland,27,18,0,1,?,1,0,4,0,No,Defender with occasional assists:contentReference[oaicite:8]{index=8}
Keven Schlotterbeck,DEF,31,Germany,28,22,1,0,?,1,0,5,0,No,Defensive starter/captain figure:contentReference[oaicite:9]{index=9}
Noahkai Banks,DEF,40,USA,19,9,0,0,?,0,0,1,0,Yes,Young homegrown defender with some apps:contentReference[oaicite:10]{index=10}
Robin Fellhauer,DEF,19,Germany,27,16,1,0,?,1,0,2,0,No,Defensive rotation option:contentReference[oaicite:11]{index=11}
Han‑Noah Massengo,MID,4,Germany/France,24,21,2,1,?,3,0,3,0,No,Midfield contributor with goals:contentReference[oaicite:12]{index=12}
Elvis Rexhbecaj,MID,8,Germany/Kosovo,28,19,2,0,?,2,0,4,0,No,Midfield engine with scoring:contentReference[oaicite:13]{index=13}
Alexis Claude‑Maurice,MID,20,France,27,17,3,2,?,5,0,3,0,No,Creative midfielder top scorer/assist combo:contentReference[oaicite:14]{index=14}
Fabian Rieder,MID,32,Switzerland,23,22,3,1,?,4,0,3,0,No,Goals leader this season:contentReference[oaicite:15]{index=15}
Mert Kömür,MID,36,Germany,20,18,0,3,?,3,0,3,0,No,Assist leader among mids:contentReference[oaicite:16]{index=16}
Anton Kade,FWD,30,Germany,21,16,2,0,?,2,0,3,0,Yes,Young forward with goals:contentReference[oaicite:17]{index=17}
Samuel Essende,FWD,9,France/DR Congo,27,14,1,0,?,1,0,2,0,No,Rotation striker with contributions:contentReference[oaicite:18]{index=18}
Ismaël Gharbi,FWD,11,France,21,12,0,1,?,1,0,1,0,No,Creative forward part of attack:contentReference[oaicite:19]{index=19}
Michael Gregoritsch,FWD,?,Austria,31,10,2,0,?,2,0,1,0,No,Forward depth scorer:contentReference[oaicite:20]{index=20}
Elias Saad,FWD,26,Germany,26,10,1,0,?,1,0,1,0,No,Young forward with goals:contentReference[oaicite:21]{index=21}
