Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Harry Wilson,FWD/MID,17,Wales,32,27,9,6,2430,15,0,6,0,No,Top scorer & creator for Fulham :contentReference[oaicite:1]{index=1}
Raúl Jiménez,FWD,7,Mexico,34,28,8,3,2520,11,0,5,0,No,Second top scorer :contentReference[oaicite:2]{index=2}
Alex Iwobi,MID,11,Nigeria,28,23,4,3,2070,7,0,3,0,No,Creative midfielder :contentReference[oaicite:3]{index=3}
Emile Smith Rowe,MID/FWD,32,England,24,29,3,3,2610,6,0,5,0,Yes,Attacking mid option :contentReference[oaicite:4]{index=4}
Samuel Chukwueze,FWD,19,Nigeria,26,15,3,4,1350,7,0,4,0,No,Winger with assists :contentReference[oaicite:5]{index=5}
Rodrigo Muniz,FWD,9,Brazil,24,12,2,1,1080,3,0,1,0,No,Goal threat rotation :contentReference[oaicite:6]{index=6}
Ryan Sessegnon,DEF/MID,30,England,25,22,2,2,1980,4,0,2,0,Yes,Full‑back & assists :contentReference[oaicite:7]{index=7}
Sander Berge,MID,18,Norway,27,29,0,1,2610,1,0,4,0,No,Midfield presence :contentReference[oaicite:8]{index=8}
Bernd Leno,GK,1,Germany,33,29,0,0,2610,0,5,3,0,No,First‑choice goalkeeper :contentReference[oaicite:9]{index=9}
Joachim Andersen,DEF,5,Denmark,29,26,0,1,2340,1,0,6,0,No,Center‑back depth :contentReference[oaicite:10]{index=10}
Saša Lukić,MID,20,Serbia,31,19,1,2,1710,3,0,6,0,No,Box‑to‑box midfielder :contentReference[oaicite:11]{index=11}
Calvin Bassey,DEF,3,Nigeria,25,21,1,0,1890,1,0,5,0,No,Left‑back/full‑back :contentReference[oaicite:12]{index=12}
Kenny Tete,DEF,2,Netherlands,30,21,1,0,1890,1,0,5,0,No,Right‑back option :contentReference[oaicite:13]{index=13}
Kevin,DEF/MID,22,Brazil,23,23,1,1,2070,2,0,1,0,No,Rotation squad member :contentReference[oaicite:14]{index=14}
Harrison Reed,MID,16,England,31,5,1,1,450,2,0,0,0,Yes,Midfield depth :contentReference[oaicite:15]{index=15}
Josh King,FWD,24,England,33,23,1,1,2070,2,0,3,0,Yes,Squad forward :contentReference[oaicite:16]{index=16}
Tom Cairney,MID,14,England,35,19,1,0,1710,1,0,2,0,Yes,Veteran midfielder :contentReference[oaicite:17]{index=17}
