Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
José Sá,GK,1,Portugal,32,29,0,0,2610,0,4,1,0,No,First‑choice GK  
Sam Johnstone,GK,31,England,32,10,0,0,900,0,2,1,0,Yes,Backup keeper  
Dan Bentley,GK,25,England,31,3,0,0,270,0,1,0,0,Yes,3rd GK  
Rayan Aït‑Nouri,DEF,3,Algeria,23,30,2,1,2550,3,0,5,0,No,Left wing‑back  
Santiago Bueno,DEF,4,Uruguay,26,28,1,1,2360,2,0,4,0,No,Center‑back  
Santiago Mosquera,DEF,14,Colombia,24,15,0,0,1350,0,0,1,0,No,Defender  
Craig Dawson,DEF,15,England,35,12,0,0,1080,0,0,2,0,Yes,Experienced CB  
Emmanuel Agbadou,DEF,12,Côte d’Ivoire,27,22,1,0,1980,1,0,3,0,No,Center‑back  
Bastien Meupiyou,DEF,33,France,19,5,0,0,450,0,0,0,0,No,Rotation defender  
Nélson Semedo,DEF,22,Portugal,33,25,1,1,2250,2,0,3,0,No,Right‑back  
Toti Gomes,DEF,24,Portugal,24,18,1,0,1620,1,0,1,0,No,CB rotation  
João Gomes,MID,8,Brazil,25,28,2,1,2520,3,0,4,0,No,Midfield engine  
André,MID,7,Brazil,28,27,1,2,2430,3,0,3,0,No,Box‑to‑box midfielder  
Jean‑Ricner Bellegarde,MID,27,France,27,24,1,1,2160,2,0,2,0,No,Central midfielder  
Tommy Doyle,MID,20,England,23,20,0,0,1800,0,0,2,0,Yes,Mid rotation  
Rodrigo Gomes,FWD,19,Portugal,21,14,3,0,1190,3,0,1,0,No,Leading scorer :contentReference[oaicite:1]{index=1}  
Hwang Hee‑Chan,FWD,11,South Korea,29,20,1,1,1149,2,0,2,0,No,Forward option :contentReference[oaicite:2]{index=2}  
Carlos Forbs,FWD,26,Portugal,21,22,2,0,1980,2,0,3,0,No,Attacking rotation  
Gonçalo Guedes,FWD,29,Portugal,29,24,1,1,2160,2,0,2,0,No,Wide forward  
Enso González,FWD,30,Paraguay,20,18,1,0,1620,1,0,1,0,No,Young forward  
Mateus Mané,FWD,59,England,20,8,0,0,360,0,0,1,0,No,Backup striker  
