Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Frederik Rønnow,GK,1,Denmark,33,25,0,0,2250,0,7,3,0,No,First‑choice keeper with most starts in league :contentReference[oaicite:1]{index=1}
Carl Klaus,GK,25,Germany,32,0,0,0,0,0,0,0,0,Yes,Backup goalkeeper :contentReference[oaicite:2]{index=2}
Matheo Raab,GK,31,Germany,27,0,0,0,0,0,0,0,0,No,Third keeper no apps :contentReference[oaicite:3]{index=3}
Danilho Doekhi,DEF,5,Netherlands,27,25,4,1,?,5,0,4,0,No,Experienced centre‑back with goal output :contentReference[oaicite:4]{index=4}
Diogo Leite,DEF,4,Portugal,26,25,2,3,?,5,0,3,0,No,Defender starter with attacking play :contentReference[oaicite:5]{index=5}
Leopold Querfeld,DEF,14,Austria,21,25,2,1,?,3,0,4,0,Yes,Young defender in rotation :contentReference[oaicite:6]{index=6}
Tom Rothe,DEF,15,Germany,20,?,?,?,?,?,?,?,?,Yes,Defensive rotation option :contentReference[oaicite:7]{index=7}
Josip Juranović,DEF,18,Croatia,30,?,0,1,?,1,0,3,0,No,Right‑back with assists :contentReference[oaicite:8]{index=8}
Christopher Trimmel,DEF,28,Austria,38,?,1,2,?,3,0,6,0,Yes,Veteran leader & assist threat :contentReference[oaicite:9]{index=9}
Stanley N’Soki,DEF,34,France,26,?,0,1,?,1,0,3,0,No,Full‑back squad depth :contentReference[oaicite:10]{index=10}
Derrick Köhn,DEF,?,Germany,26,?,0,0,?,1,0,?,0,No,Left‑back depth signing :contentReference[oaicite:11]{index=11}
Aljoscha Kemlein,MID,6,Germany,21,?,0,0,?,0,0,?,0,Yes,Young midfield option :contentReference[oaicite:12]{index=12}
Rani Khedira,MID,8,Germany,31,?,5,1,?,6,0,?,0,No,Club’s goals leader joint (~5) :contentReference[oaicite:13]{index=13}
András Schäfer,MID,13,Hungary,26,?,1,1,?,2,0,?,0,No,Creative midfielder :contentReference[oaicite:14]{index=14}
Janik Haberer,MID,19,Germany,29,?,0,1,?,1,0,?,0,No,Experienced mid rotation :contentReference[oaicite:15]{index=15}
Tim Skarke,MID,21,Germany,29,12,1,0,?,1,0,?,0,No,Rotation attacker :contentReference[oaicite:16]{index=16}
Robert Skov,MID,24,Denmark,29,3,0,0,?,0,0,?,0,No,Winger depth contributor :contentReference[oaicite:17]{index=17}
Alex Král,MID,33,Czechia,27,12,0,0,?,0,0,1,0,No,Midfield cover :contentReference[oaicite:18]{index=18}
Woo‑Yeong Jeong,MID/FWD,11,South Korea,26,?,2,1,?,3,0,?,0,No,Creative forward rotation :contentReference[oaicite:19]{index=19}
Oliver Burke,FWD,7,Scotland,28,19,4,1,?,5,0,4,0,No,Goal contributor :contentReference[oaicite:20]{index=20}
Livan Burcu,FWD,9,Germany,21,8,0,0,?,0,0,1,0,Yes,Young attacking option :contentReference[oaicite:21]{index=21}
Ilyas Ansah,FWD,10,Germany,20,25,5,1,?,6,0,5,0,No,Joint top scorer with goals & presence :contentReference[oaicite:22]{index=22}
Andrej Ilic,FWD,23,Serbia,25,20,0,7,?,7,0,4,0,No,Assist leader this season (~7) :contentReference[oaicite:23]{index=23}
Dmytro Bohdanov,FWD,30,?,17?,0,0,?,0,0,?,0,No,Young striker depth :contentReference[oaicite:24]{index=24}
